Index       TIME             V(CLK)            V(VIPC)           V(VINC)           V(CMPP)           V(CMPN)     
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.34687187e-01    2.34687187e-01
1        5.00000000e-14    6.00000000e-03    3.76991118e-10   -3.76991118e-10    2.34687184e-01    2.34687184e-01
2        7.66718731e-14    9.20062478e-03    5.78092304e-10   -5.78092304e-10    2.34683205e-01    2.34683205e-01
3        1.03343746e-13    1.24012496e-02    7.79193490e-10   -7.79193490e-10    2.34674650e-01    2.34674650e-01
4        1.30015619e-13    1.56018743e-02    9.80294675e-10   -9.80294675e-10    2.34651751e-01    2.34651751e-01
5        1.56687493e-13    1.88024991e-02    1.18139586e-09   -1.18139586e-09    2.34601561e-01    2.34601561e-01
6        1.83359366e-13    2.20031239e-02    1.38249705e-09   -1.38249705e-09    2.34506330e-01    2.34506330e-01
7        2.10031239e-13    2.52037487e-02    1.58359823e-09   -1.58359823e-09    2.34345328e-01    2.34345328e-01
8        2.34035925e-13    2.80843110e-02    1.76458930e-09   -1.76458930e-09    2.34128715e-01    2.34128715e-01
9        2.55495203e-13    3.06594243e-02    1.92638844e-09   -1.92638844e-09    2.33871660e-01    2.33871660e-01
10       2.74808553e-13    3.29770263e-02    2.07200767e-09   -2.07200767e-09    2.33594556e-01    2.33594556e-01
11       2.75894929e-13    3.31073915e-02    2.08019876e-09   -2.08019876e-09    2.33577920e-01    2.33577920e-01
12       2.76166523e-13    3.31399827e-02    2.08224653e-09   -2.08224653e-09    2.33573760e-01    2.33573760e-01
13       2.76709711e-13    3.32051653e-02    2.08634207e-09   -2.08634207e-09    2.33565443e-01    2.33565443e-01
14       2.77796087e-13    3.33355304e-02    2.09453315e-09   -2.09453315e-09    2.33548808e-01    2.33548808e-01
15       2.78882463e-13    3.34658955e-02    2.10272423e-09   -2.10272423e-09    2.33532175e-01    2.33532175e-01
16       2.81055215e-13    3.37266258e-02    2.11910639e-09   -2.11910639e-09    2.33498914e-01    2.33498914e-01
17       2.83227967e-13    3.39873560e-02    2.13548856e-09   -2.13548856e-09    2.33465660e-01    2.33465660e-01
18       2.84314342e-13    3.41177211e-02    2.14367964e-09   -2.14367964e-09    2.33449036e-01    2.33449036e-01
19       2.86487094e-13    3.43784513e-02    2.16006180e-09   -2.16006180e-09    2.33415791e-01    2.33415791e-01
20       2.90832598e-13    3.48999118e-02    2.19282613e-09   -2.19282613e-09    2.33349321e-01    2.33349321e-01
21       2.95178102e-13    3.54213722e-02    2.22559046e-09   -2.22559046e-09    2.33282877e-01    2.33282877e-01
22       3.03869110e-13    3.64642932e-02    2.29111911e-09   -2.29111911e-09    2.33150069e-01    2.33150069e-01
23       3.12560117e-13    3.75072141e-02    2.35664776e-09   -2.35664776e-09    2.33017365e-01    2.33017365e-01
24       3.29942132e-13    3.95930559e-02    2.48770507e-09   -2.48770507e-09    2.32752274e-01    2.32752274e-01
25       3.47324148e-13    4.16788977e-02    2.61876238e-09   -2.61876238e-09    2.32487605e-01    2.32487605e-01
26       3.82088178e-13    4.58505814e-02    2.88087699e-09   -2.88087699e-09    2.31959527e-01    2.31959527e-01
27       4.16852209e-13    5.00222650e-02    3.14299161e-09   -3.14299161e-09    2.31433126e-01    2.31433126e-01
28       4.51616239e-13    5.41939487e-02    3.40510622e-09   -3.40510622e-09    2.30908397e-01    2.30908397e-01
29       4.86380270e-13    5.83656323e-02    3.66722084e-09   -3.66722084e-09    2.30385333e-01    2.30385333e-01
30       5.21144300e-13    6.25373160e-02    3.92933545e-09   -3.92933545e-09    2.29863926e-01    2.29863926e-01
31       5.55908330e-13    6.67089997e-02    4.19145007e-09   -4.19145007e-09    2.29344170e-01    2.29344170e-01
32       5.90672361e-13    7.08806833e-02    4.45356468e-09   -4.45356468e-09    2.28826058e-01    2.28826058e-01
