Index       TIME              V(CK)            V(VON)      
0        0.00000000e+00    0.00000000e+00    6.34493220e-08
1        1.00000000e-12    6.00000000e-03    6.68569813e-08
2        3.00000000e-12    1.80000000e-02    3.43351929e-07
3        5.00000000e-12    3.00000000e-02    2.27067874e-06
4        9.00000000e-12    5.40000000e-02    2.43767232e-05
5        1.70000000e-11    1.02000000e-01    3.46821215e-04
6        2.50000000e-11    1.50000000e-01    1.86899101e-03
7        3.30000000e-11    1.98000000e-01    6.79675273e-03
8        4.10000000e-11    2.46000000e-01    2.05723190e-02
9        4.22665171e-11    2.53599102e-01    2.43188975e-02
10       4.35330341e-11    2.61198205e-01    2.87238206e-02
11       4.60660683e-11    2.76396410e-01    4.00606077e-02
12       4.85991024e-11    2.91594615e-01    5.60972218e-02
13       5.11321366e-11    3.06792820e-01    7.94286615e-02
14       5.36651707e-11    3.21991024e-01    1.14998123e-01
15       5.61982049e-11    3.37189229e-01    1.73979681e-01
16       5.65043088e-11    3.39025853e-01    1.83814696e-01
17       5.68104127e-11    3.40862476e-01    1.94498481e-01
18       5.74226205e-11    3.44535723e-01    2.18938304e-01
19       5.80348282e-11    3.48208969e-01    2.48687984e-01
20       5.86470360e-11    3.51882216e-01    2.86051690e-01
21       5.92592438e-11    3.55555463e-01    3.34898934e-01
22       5.98714516e-11    3.59228710e-01    3.92941592e-01
23       6.04836594e-11    3.62901956e-01    4.65113405e-01
24       6.05657668e-11    3.63394601e-01    4.76824310e-01
25       6.06478742e-11    3.63887245e-01    4.89301793e-01
26       6.08120890e-11    3.64872534e-01    5.17319975e-01
27       6.09763039e-11    3.65857823e-01    5.51824026e-01
28       6.11405187e-11    3.66843112e-01    5.88949438e-01
29       6.14689484e-11    3.68813690e-01    6.54331212e-01
30       6.17343005e-11    3.70405803e-01    6.99387214e-01
31       6.19996527e-11    3.71997916e-01    7.32598185e-01
32       6.22650049e-11    3.73590029e-01    7.58853467e-01
33       6.27957092e-11    3.76774255e-01    7.99813944e-01
34       6.33264136e-11    3.79958481e-01    8.31628187e-01
35       6.38571179e-11    3.83142708e-01    8.57859322e-01
36       6.49185266e-11    3.89511160e-01    8.99706582e-01
37       6.70413440e-11    4.02248064e-01    9.59802598e-01
38       6.91641614e-11    4.14984968e-01    1.00304504e+00
39       7.12869788e-11    4.27721873e-01    1.03680321e+00
40       7.55326136e-11    4.53195682e-01    1.08747305e+00
41       7.97782484e-11    4.78669490e-01    1.11983931e+00
42       8.35993197e-11    5.01595918e-01    1.13876406e+00
43       8.74203910e-11    5.24522346e-01    1.15227512e+00
44       9.50625336e-11    5.70375202e-01    1.17003235e+00
45       1.02704676e-10    6.16228057e-01    1.18079719e+00
46       1.10346819e-10    6.62080913e-01    1.18766528e+00
47       1.17988961e-10    7.07933769e-01    1.19214973e+00
48       1.25631104e-10    7.53786625e-01    1.19510479e+00
49       1.33273247e-10    7.99639480e-01    1.19703772e+00
50       1.48557532e-10    8.91345192e-01    1.19906416e+00
51       1.63841817e-10    9.83050903e-01    1.19978889e+00
52       1.79126102e-10    1.07475661e+00    1.19997865e+00
53       1.89448420e-10    1.13669052e+00    1.19999858e+00
54       1.99770737e-10    1.19862442e+00    1.19999997e+00
55       1.99910012e-10    1.19946007e+00    1.19999997e+00
56       1.99932509e-10    1.19959505e+00    1.19999997e+00
57       1.99943757e-10    1.19966254e+00    1.19999997e+00
58       1.99945163e-10    1.19967098e+00    1.19999997e+00
59       1.99945207e-10    1.19967124e+00    1.19999997e+00
60       1.99945212e-10    1.19967127e+00    1.19999997e+00
61       1.99945217e-10    1.19967130e+00    1.19999997e+00
62       1.99945221e-10    1.19967133e+00    1.19999997e+00
63       1.99945230e-10    1.19967138e+00    1.19999997e+00
64       1.99945249e-10    1.19967149e+00    1.19999997e+00
65       1.99945286e-10    1.19967172e+00    1.19999997e+00
66       1.99945360e-10    1.19967216e+00    1.19999997e+00
67       1.99945508e-10    1.19967305e+00    1.19999997e+00
68       1.99945804e-10    1.19967482e+00    1.19999997e+00
69       1.99946396e-10    1.19967837e+00    1.19999997e+00
70       1.99947580e-10    1.19968548e+00    1.19999997e+00
71       1.99949947e-10    1.19969968e+00    1.19999997e+00
72       1.99954682e-10    1.19972809e+00    1.19999997e+00
73       1.99959417e-10    1.19975650e+00    1.19999997e+00
74       1.99964153e-10    1.19978492e+00    1.19999997e+00
75       1.99968888e-10    1.19981333e+00    1.19999997e+00
76       1.99973623e-10    1.19984174e+00    1.19999997e+00
77       1.99978358e-10    1.19987015e+00    1.19999997e+00
78       1.99983093e-10    1.19989856e+00    1.19999997e+00
79       1.99987828e-10    1.19992697e+00    1.19999997e+00
80       1.99992564e-10    1.19995538e+00    1.19999997e+00
81       1.99997299e-10    1.19998379e+00    1.19999997e+00
82       2.00000000e-10    1.20000000e+00    1.19999997e+00
83       2.00000474e-10    1.20000000e+00    1.19999997e+00
